currency,rows,nbp_table,covered
EUR,719260,A,True
USD,69949,A,True
JPY,43306,A,True
GBP,39765,A,True
DKK,39362,A,True
PLN,39186,BRAK,False
SEK,38519,A,True
CHF,38088,A,True
CNY,37547,A,True
ILS,36874,A,True
RON,36811,A,True
ZAR,36663,A,True
CAD,33730,A,True
TRY,30034,A,True
PHP,22967,A,True
SGD,22967,A,True
MYR,22602,A,True
IDR,22499,A,True
THB,21929,A,True
TWD,21036,B,True
VND,20115,B,True
MXN,19569,A,True
KRW,15636,A,True
NOK,15363,A,True
INR,2038,A,True
NZD,1501,A,True
BGN,244,BRAK,False
AUD,230,A,True
EGP,5,B,True
